	Gender	Height	Weight
0	Male	1.76	72.0
1	Male	1.72	62.5
2	Male	1.65	55.0
3	Male	1.64	53.0
4	Male	1.71	63.0
5	Male	1.66	57.4
6	Male	1.7	56.0
7	Female	1.56	38.0
8	Male	1.65	50.0
9	Female	1.6	50.0
10	Male	1.55	51.0
11	Female	1.5	41.0
12	Male	1.6	84.0
13	Male	1.67	45.0
14	Male	1.68	67.0
15	Male	1.76	76.0
16	Male	1.68	76.0
17	Male	1.7	62.0
18	Male	1.6	48.0
19	Male	1.78	56.0
20	Male	1.6	45.0
21	Male	1.65	50.0
22	Female	1.58	41.0
23	Female	1.55	37.0
24	Female	1.63	56.0
25	Female	1.55	55.0
26	Male	1.75	68.0
27	Male	1.7	60.0
